eventName,eventSource,eventTimestamp,textDelta,cursorRange,currentDoc,currentCursor,currentSuggestions,currentSuggestionIndex,currentHoverIndex,currentN,currentMaxToken,currentTemperature,currentTopP,currentPresencePenalty,currentFrequencyPenalty,eventNum,session_id,text
text-insert,user,2021-08-27 07:05:20.175,"{'ops': [{'retain': 1745}, {'insert': 'c'}]}",,,1746,[],2,2.0,5,30,0.9,1,0,0.5,1312,3424bdff537543b78fae24710df40646,
text-insert,user,2021-08-30 12:26:31.244,"{'ops': [{'retain': 1750}, {'insert': 's'}]}",,,1751,[],0,0.0,5,30,0.3,1,0,0.0,2019,9a29f841869a4fd98cf358da50f4a340,
text-insert,user,2021-08-30 08:12:59.804,"{'ops': [{'retain': 191}, {'insert': 'h'}]}",,,192,[],0,,5,30,0.3,1,0,0.0,167,f3fd58f51d4a406ba6151b630e18dbac,
text-insert,user,2021-08-30 11:18:44.300,"{'ops': [{'retain': 1832}, {'insert': 'p'}]}",,,1833,[],1,1.0,5,30,0.2,1,0,0.5,1359,ffe94583242c4ffca4b1546bb39ba5c2,
text-insert,user,2021-08-18 11:20:54.821,"{'ops': [{'retain': 1115}, {'insert': '.'}]}",,,1116,[],0,3.0,5,30,0.75,1,0,1.0,777,642f60be7fc54530a6b80ad4bd7fb6d9,
text-insert,user,2021-08-29 16:46:51.499,"{'ops': [{'retain': 1278}, {'insert': 't'}]}",,,1279,[],3,3.0,5,30,0.3,1,0,0.0,861,9750cd5d84274f9b8135be2e8fa8cc6d,
text-insert,user,2021-09-04 19:50:37.519,"{'ops': [{'retain': 1015}, {'insert': 'e'}]}",,,1016,[],0,0.0,5,30,0.2,1,0,0.5,342,da72913a2d764538a71c9607212b148c,
text-insert,user,2021-08-17 16:43:24.563,"{'ops': [{'retain': 792}, {'insert': 'e', 'attributes': {'color': '#4d5156'}}]}",,,793,[],0,2.0,5,30,0.75,1,0,1.0,646,81f59f9cba194b04802bbeae51dc798c,
text-insert,user,2021-08-28 19:08:04.245,"{'ops': [{'retain': 1445}, {'insert': ' '}]}",,,1446,[],2,2.0,5,30,0.75,1,0,1.0,1108,2cd0471292f14be5bf1ccb9b313e1903,
text-insert,user,2021-08-26 11:37:58.530,"{'ops': [{'retain': 928}, {'insert': 'n'}]}",,,929,[],0,4.0,5,30,0.3,1,0,0.0,808,cfb8bffe98a044868cec22afd04c1bba,
